Year,month,Price,s&p500_close,net_income,total_passengers,average_of_arr_delay_per_flight,average_of_arr_cancelled,average_of_arr_diverted,fuel_consumption,fuel_cost,fuel_cost_per_gallon,freight_total_ton_miles,google_trend
2015,1,88.31,"1,994.99","5,09,296","67,51,586",15.48056402,12.55844156,0.844155844,"2,45,789","4,48,830",1.83,"2,00,882",86
2015,2,79.63,"2,104.50","5,09,296","62,93,908",14.03526824,13.41333333,0.76,"2,22,442","3,81,679",1.72,"2,21,620",90
2015,3,79.44,"2,067.89","5,09,296","80,09,921",12.56063157,8.546666667,1.213333333,"2,68,189","4,94,299",1.84,"2,39,947",91
2015,4,68.82,"2,085.51","11,92,981","76,35,556",12.05679498,4.743589744,1.371794872,"2,61,169","4,59,086",1.76,"2,12,422",86
2015,5,69.05,"2,107.39","11,92,981","81,93,347",13.08985392,4.702702703,2.689189189,"2,81,042","5,41,121",1.93,"2,11,104",87
2015,6,93.81,"2,063.11","11,92,981","86,60,155",23.80411036,13.98734177,2.962025316,"2,90,796","5,55,257",1.91,"2,09,404",88
2015,7,105.84,"2,103.84","47,75,505","91,57,394",19.49984679,5.924050633,1.734177215,"3,03,570","5,39,559",1.78,"2,16,213",90
2015,8,97.1,"1,972.18","47,75,505","88,19,722",14.1706097,4.2625,1.6375,"2,96,818","4,71,662",1.59,"2,11,747",87
2015,9,96.83,"1,920.03","47,75,505","75,66,787",8.539923005,1.277108434,0.843373494,"2,62,169","3,90,817",1.49,"2,11,646",81
2015,10,78.26,"2,079.36","8,23,605","82,26,048",7.304789343,1.505882353,1.058823529,"2,71,744","4,06,518",1.5,"2,32,876",83
2015,11,57.06,"2,080.41","8,23,605","76,09,512",11.89180185,3.654761905,1.238095238,"2,47,845","3,48,242",1.41,"2,22,478",79
2015,12,44.04,"2,043.94","8,23,605","79,67,691",15.576727,9.139534884,1.197674419,"2,63,947","3,53,805",1.34,"2,23,835",76
2016,1,45.42,"1,940.24","3,13,862","70,74,970",8.613336043,15.53488372,0.651162791,"2,40,230","2,77,726",1.16,"2,01,009",75
2016,2,48.66,"1,932.23","3,13,862","67,54,878",9.479828428,4.192771084,0.710843373,"2,28,643","2,42,220",1.06,"1,95,464",77
2016,3,52.99,"2,059.74","3,13,862","81,65,767",12.05129909,5.61627907,0.895348837,"2,65,338","2,97,965",1.12,"2,25,769",79
2016,4,51.46,"2,065.30","5,88,122","77,52,413",7.520466137,7.471264368,0.931034483,"2,57,893","3,08,675",1.2,"2,22,064",77
2016,5,47.88,"2,096.95","5,88,122","84,68,933",10.94240858,2.905882353,2.023529412,"2,81,395","3,70,831",1.32,"2,27,783",80
2016,6,45.49,"2,098.86","5,88,122","90,87,550",13.28387344,4.011235955,2.719101124,"2,94,023","4,23,353",1.44,"2,28,955",86
2016,7,41.38,"2,173.60","9,65,010","95,52,576",17.78415602,6.523255814,2.674418605,"3,09,948","4,45,707",1.44,"2,38,038",81
2016,8,41.26,"2,170.95","9,65,010","92,89,824",14.92254954,3.556818182,2.056818182,"3,04,556","4,13,361",1.36,"2,30,529",91
2016,9,39.4,"2,168.21","9,65,010","83,18,827",10.5023766,2.011494253,0.954022989,"2,74,674","3,83,256",1.4,"2,44,606",77
2016,10,35.01,"2,126.15","3,96,936","87,26,159",9.073176831,3.921348315,0.730337079,"2,78,908","4,09,684",1.47,"2,74,793",72
2016,11,42.3,"2,198.81","3,96,936","81,33,856",8.562410222,1.318181818,0.727272727,"2,52,339","3,69,816",1.47,"2,56,985",76
2016,12,49.81,"2,238.83","3,96,936","84,44,199",15.79898623,5.815217391,1.054347826,"2,73,281","4,15,049",1.52,"2,58,584",76
2017,1,54.31,"2,278.87","96,745","76,84,332",13.18195577,2.666666667,1.32183908,"2,55,048","4,12,501",1.62,"2,33,446",88
2017,2,54.87,"2,363.64","96,745","69,97,339",11.03185085,4.02173913,0.847826087,"2,30,552","3,76,303",1.63,"2,35,372",87
2017,3,47.47,"2,362.72","96,745","89,21,902",10.03784475,7.129032258,0.731182796,"2,74,711","4,41,695",1.61,"2,79,436",90
2017,4,43.8,"2,384.20","8,18,180","87,00,616",11.04044854,0.350515464,0.865979381,"2,69,247","4,28,189",1.59,"2,65,395",97
2017,5,44.25,"2,411.80","8,18,180","91,39,255",10.04308568,0.741935484,1.182795699,"2,91,602","4,48,316",1.54,"2,81,922",95
2017,6,51.96,"2,423.41","8,18,180","99,96,061",13.73716241,2.434343434,1.525252525,"3,06,364","4,52,299",1.48,"2,79,828",92
2017,7,48.96,"2,470.30","6,37,510","1,05,49,831",15.67953904,4.43877551,2.326530612,"3,21,423","4,70,836",1.46,"2,78,534",95
2017,8,37.7,"2,471.65","6,37,510","99,59,773",11.65880631,22.01,1.93,"3,11,521","4,93,461",1.58,"2,70,466",91
2017,9,44.17,"2,519.36","6,37,510","83,73,405",5.849164261,14.70707071,0.676767677,"2,76,441","4,78,836",1.73,"2,80,834",80
2017,10,43.08,"2,575.26","5,96,853","90,39,736",7.624196426,1.625,0.885416667,"2,83,413","4,99,141",1.76,"3,08,416",81
2017,11,32.53,"2,647.58","5,96,853","87,30,847",6.530465181,0.2,0.488888889,"2,61,367","4,72,662",1.81,"3,00,177",74
2017,12,35.01,"2,673.61","5,96,853","89,44,737",9.535405382,0.84,0.87,"2,74,749","5,15,409",1.88,"3,01,323",83
